amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Alpha,Beta,Max_Drawdown,expense_ratio_pct,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,Score,FundScore
100016,-0.02224270997710287,0.01292649342495622,0.023168434686413164,-0.20151706755966936,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,35.0,35.0,39.0,32.0,34.0,35.25,99.9131190269331
100025,0.03704968580461343,0.039163899571040384,0.03912652604315703,-0.5670947928476846,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,34.0,39.0,38.0,2.0,4.0,28.25,75.58644656820157
100033,0.5323239623092084,0.32442459421956116,0.260740682788986,1.093698743534631,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,4.0,7.0,6.0,17.0,20.0,8.7,7.645525629887053
101206,0.4792412023860102,0.2896769452874166,0.20442729550832484,1.0272133278753695,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,9.0,9.0,12.0,36.5,9.0,13.725,25.108601216333625
101207,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,0.16266076928646772,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,32.175,89.2267593397046
101208,0.0723664530138024,0.06315784491375509,0.05705734207350055,-0.8155673679088263,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,27.85,74.1963509991312
102885,0.20207703983094838,0.1966726206830185,0.1587882255741997,0.8170993373494367,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,19.0,43.440486533449175
102886,-0.16797480944407306,-0.007674063178547241,0.010303498015576507,-0.20583160785470309,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,37.0,36.0,40.0,24.5,35.0,35.275,100.0
102887,0.135831349444816,0.25556187904126526,0.146781096489218,0.6195175900829828,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,13.0,22.0,21.0,39.5,30.0,22.525,55.69070373588184
118632,0.339810484550213,0.22652359830098634,0.2088111809083788,1.0816591793457042,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,14.0,8.0,11.0,24.5,23.0,14.375,27.367506516072982
118633,0.25539980483954094,0.2108997654925684,0.14188358083768593,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,15.0,21.0,22.0,5.5,26.0,17.575,38.48827106863597
118634,0.15811221971300937,0.08007927728656083,0.14274127320122987,0.44843400890899127,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,27.0,26.0,18.0,28.5,32.0,25.675,66.63770634231103
118635,0.22493224932249345,0.20008208380471482,0.13914386506748544,0.664856998549062,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,17.0,19.0,23.0,13.0,10.0,17.4,37.88010425716767
118636,0.10454939683040276,0.040622050237771434,0.046639279794601585,-0.35662950751436784,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,33.0,38.0,35.0,1.0,6.0,27.15,71.76368375325804
119092,0.016091186722522632,0.005258871209757432,0.055825550357928355,0.03078485095458594,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,36.0,31.0,30.0,39.5,15.0,31.975,88.53171155516942
119093,0.197667410165155,0.20816771175535864,0.06917406025598449,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,16.0,29.0,28.0,8.0,31.0,21.95,53.692441355343185
119094,0.22261065131342206,0.35111802096428524,0.24445308534360555,0.9982309868636413,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,1.0,11.0,9.0,17.0,28.0,10.2,12.858384013900954
119095,-0.427976145588544,-0.11705806723995271,0.013376247776951455,-0.0759735711747892,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,34.1,95.91659426585578
119120,0.055219955107626895,0.05840358798463097,0.051644356698553606,-0.22657538662791576,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,27.5,72.98001737619462
119551,0.6043734071403091,0.3045652442030289,0.22384873172214603,1.2082665673727175,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,6.0,4.0,10.0,30.5,17.0,11.075,15.899218071242396
119552,0.05706100044974027,0.16267372294624916,0.18713118910689763,0.9532794968660104,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,14.6,28.149435273675067
119598,0.8277605861507404,0.2666992200118774,0.28033223731546975,0.9453082575156095,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,12.0,14.0,1.0,21.0,36.0,14.05,26.238053866203305
119599,0.1394780335518997,-0.01337386614488112,0.01805621440370042,-0.05718662582817995,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,31.425,86.62033014769766
120503,0.08489081269294418,0.13978381933703043,0.16355566129520227,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,25.0,17.0,17.0,20.0,14.0,19.55,45.35186794092094
120504,0.13064279264417977,0.3248742855621496,0.20234028033314222,1.0265242847993001,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,3.0,10.0,13.0,12.0,12.0,9.0,8.688097306689835
120505,0.29604659337893646,0.317775371512347,0.2837676208804263,1.1801011976606492,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,8.1,5.560382276281493
120506,0.4181904829701364,0.1842199653744454,0.1488859671244569,0.6488787755249532,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,20.0,20.0,20.0,19.0,27.0,20.55,48.827106863596875
120507,0.0742505077613469,0.07394286300360076,0.06341690270358713,0.4957233929533123,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,21.8,53.171155516941795
120841,0.16837098075385626,0.1726727508371786,0.1181544242649819,0.4942725378672349,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,25.25,65.16072980017377
120842,0.2250195657587366,0.07756003551327284,0.05873842419478348,0.07599984804658923,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,28.0,30.0,29.0,33.0,33.0,29.95,81.49435273675066
120843,0.26657081760850154,0.2958277033726251,0.2674249401072899,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,7.0,2.0,5.0,22.0,13.0,8.2,5.907906168549086
120844,0.07120323042122512,0.06695971624586994,0.060604313665645115,-0.08874729621557288,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,24.55,62.728062554300614
125497,0.2867535802656873,0.18434488610520172,0.16555918956858906,0.7757902498211205,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,19.0,18.0,16.0,14.0,18.0,17.3,37.53258036490009
125498,0.15443720834451846,0.11245222866621418,0.09880199138430035,0.30061192104254786,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,24.15,61.33796698523023
148567,0.20360678307711866,0.3400091602163293,0.2679927700697151,1.4482911703262598,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,2.0,1.0,7.0,23.0,8.0,6.5,0.0
148568,0.14269394138778924,0.14748035533586012,0.1956595954624316,0.9262873467360144,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,24.0,15.0,14.0,26.5,19.0,19.625,45.61251086012164
148569,0.3975176148971702,0.2917890157839378,0.2762985997578453,1.2349300257743294,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,8.0,3.0,4.0,36.5,21.0,11.525,17.46307558644657
